platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);Jersey Test Framework - Core;com.sun.jersey.jersey-test-framework;jersey-test-framework-core;Jan 13;https://jersey.java.net/jersey-test-framework/jersey-test-framework-core/
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);jersey-client;com.sun.jersey;jersey-client;Jan 13;https://jersey.java.net/jersey-client/
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);jersey-core;com.sun.jersey;jersey-core;Jan 13;https://jersey.java.net/jersey-core/
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);jersey-json;com.sun.jersey;jersey-json;Jan 13;https://jersey.java.net/jersey-json/
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);jersey-server;com.sun.jersey;jersey-server;Jan 13;https://jersey.java.net/jersey-server/
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);jersey-servlet;com.sun.jersey;jersey-servlet;Jan 13;https://jersey.java.net/jersey-servlet/
platformwebservices/web-inf;CDDL 1.1(GPL2 w/ CPE);jersey-spring;com.sun.jersey.contribs;jersey-spring;Jan 13;http://maven.apache.org
platformwebservices/web-inf;CDDL License;jsr311-api;javax.ws.rs;jsr311-api;01.01.2001;https://jsr311.dev.java.net
platformwebservices/web-inf;COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDLVersion 1.0)(GNU General Public Library);Streaming API for XML;javax.xml.stream;stax-api;1.; - no url defined
platformwebservices/web-inf;Common Development and Distribution License (CDDLv1.0);JavaBeans Activation Framework (JAF);javax.activation;activation;01. Jan;http://java.sun.com/products/javabeans/jaf/index.jsp
platformwebservices/web-inf;Common Public License Version 1.0;JUnit;junit;junit;04.08.2002;http://junit.org
platformwebservices/web-inf;GNU Lesser General Public License (LGPL Version 2.1)(The Apache Software License, Version 2.0);JAX-RS provider for JSON content type;org.codehaus.jackson;jackson-jaxrs;01.09.2002;http://jackson.codehaus.org
platformwebservices/web-inf;GNU Lesser General Public License (LGPL Version 2.1)(The Apache Software License, Version 2.0);Xml Compatibility extensions for Jackson;org.codehaus.jackson;jackson-xc;01.09.2002;http://jackson.codehaus.org
platformwebservices/web-inf;Public Domain;AOP alliance;aopalliance;aopalliance;1.0;http://aopalliance.sourceforge.net
platformwebservices/web-inf;The Apache Software License, Version 2.0;Commons Logging;commons-logging;commons-logging;01.01.2001;http://commons.apache.org/logging
platformwebservices/web-inf;The Apache Software License, Version 2.0;Data Mapper for Jackson;org.codehaus.jackson;jackson-mapper-asl;01.09.2002;http://jackson.codehaus.org
platformwebservices/web-inf;The Apache Software License, Version 2.0;Jackson;org.codehaus.jackson;jackson-core-asl;01.09.2002;http://jackson.codehaus.org
platformwebservices/web-inf;The Apache Software License, Version 2.0;StAX API;stax;stax-api;1.0.1;http://stax.codehaus.org/
platformwebservices/web-inf;Unknown license;ASM Core;asm;asm;03. Jan;http://asm.objectweb.org/asm/
platformwebservices/web-inf;Unknown license;Jettison;org.codehaus.jettison;jettison;01. Jan;no url defined
platformwebservices/web-inf;Unknown license;spring-web;org.springframework;spring-web;3.0.0.RC3;http://www.springsource.org/spring-framework
print;ASF 2.0 License;spring-aop;org.springframework;spring-aop;3.0.5.RELEASE;http://www.springsource.org/spring-framework
print;ASF 2.0 License;spring-asm;org.springframework;spring-asm;3.0.5.RELEASE;http://www.springsource.org/spring-framework
print;ASF 2.0 License;spring-beans;org.springframework;spring-beans;3.0.5.RELEASE;http://www.springsource.org/spring-framework
print;ASF 2.0 License;spring-context;org.springframework;spring-context;3.0.5.RELEASE;http://www.springsource.org/spring-framework
print;ASF 2.0 License;spring-core;org.springframework;spring-core;3.0.5.RELEASE;http://www.springsource.org/spring-framework
print;ASF 2.0 License;spring-expression;org.springframework;spring-expression;3.0.5.RELEASE;http://www.springsource.org/spring-framework
print;BSD;ASM Core;asm;asm;03. Mrz;http://asm.objectweb.org/asm/
print;CDDL 1.0(GPL2 w/ CPE);JAXB RI;com.sun.xml.bind;jaxb-impl;2.2.1.1;https://jaxb.dev.java.net/
print;CDDL 1.0(GPL2 w/ CPE);JAXB XJC;com.sun.xml.bind;jaxb-xjc;2.2.1.1;https://jaxb.dev.java.net/
print;COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL;Version 1.0) JAX-WS API;javax.xml.ws;jaxws-api;2.;https://jax-ws.dev.java.net/
print;COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL;Version 1.0) JSR-250 Common Annotations for the JavaTM Platform;javax.annotation;jsr250-api;1.0;http://jcp.org/aboutJava/communityprocess/final/jsr250/index.html
print;COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL;Version 1.0) SOAP with Attachments API Package;javax.xml.soap;saaj-api;01. Mrz;http://java.sun.com/webservices/saaj/index.jsp
print;COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDLVersion 1.0)(GNU General Public Library);Streaming API for XML;javax.xml.stream;stax-api;1.; - no url defined
print;CPL;WSDL4J;wsdl4j;wsdl4j;01.06.2002;http://sf.net/projects/wsdl4j
print;Public Domain;AOP alliance;aopalliance;aopalliance;1.0;http://aopalliance.sourceforge.net
print;The Apache Software License, Version 2.0;Activation 1.1;org.apache.geronimo.specs;geronimo-activation_1.1_spec;01. Jan;http://geronimo.apache.org/maven/specs/geronimo-activation_1.1_spec/1.1
print;The Apache Software License, Version 2.0;Annotation 1.0;org.apache.geronimo.specs;geronimo-annotation_1.0_spec;01.01.2001;http://geronimo.apache.org/specs/geronimo-annotation_1.0_spec
print;The Apache Software License, Version 2.0;Apache CXF API;org.apache.cxf;cxf-api;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Command Line Tools Common;org.apache.cxf;cxf-tools-common;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Common Utilities;org.apache.cxf;cxf-common-utilities;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime Core;org.apache.cxf;cxf-rt-core;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime HTTP Transport;org.apache.cxf;cxf-rt-transports-http;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime JAX-WS Frontend;org.apache.cxf;cxf-rt-frontend-jaxws;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime JAXB DataBinding;org.apache.cxf;cxf-rt-databinding-jaxb;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime SOAP Binding;org.apache.cxf;cxf-rt-bindings-soap;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime Simple Frontend;org.apache.cxf;cxf-rt-frontend-simple;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime Transport Common Used Classes;org.apache.cxf;cxf-rt-transports-common;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime WS Addressing;org.apache.cxf;cxf-rt-ws-addr;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache CXF Runtime XML Binding;org.apache.cxf;cxf-rt-bindings-xml;02.04.2002;http://cxf.apache.org
print;The Apache Software License, Version 2.0;Apache Geronimo JAX-WS 2.2 API;org.apache.geronimo.specs;geronimo-jaxws_2.2_spec;1.0;http://geronimo.apache.org/maven/specs/geronimo-jaxws_2.2_spec/1.0
print;The Apache Software License, Version 2.0;Apache Neethi;org.apache.neethi;neethi;3.0.1;http://ws.apache.org/neethi/
print;The Apache Software License, Version 2.0;Apache Velocity;org.apache.velocity;velocity;01. Jul;http://velocity.apache.org/engine/devel/
print;The Apache Software License, Version 2.0;Commons Collections;commons-collections;commons-collections;03.02.2001;http://commons.apache.org/collections/
print;The Apache Software License, Version 2.0;Commons Lang;commons-lang;commons-lang;02. Apr;http://commons.apache.org/lang/
print;The Apache Software License, Version 2.0;Commons Logging;commons-logging;commons-logging;01.01.2001;http://commons.apache.org/logging
print;The Apache Software License, Version 2.0;JMS 1.1;org.apache.geronimo.specs;geronimo-jms_1.1_spec;01.01.2001;http://geronimo.apache.org/specs/geronimo-jms_1.1_spec
print;The Apache Software License, Version 2.0;Java Rest Annotations;org.codehaus.jra;jra;1.lpha; - http://jra.codehaus.org
print;The Apache Software License, Version 2.0;JavaMail 1.4;org.apache.geronimo.specs;geronimo-javamail_1.4_spec;01.07.2001;http://geronimo.apache.org/maven/specs/geronimo-javamail_1.4_spec/1.7.1
print;The Apache Software License, Version 2.0;Streaming API for XML (STAX API 1.0);org.apache.geronimo.specs;geronimo-stax-api_1.0_spec;1.0.1;http://geronimo.apache.org/specs/geronimo-stax-api_1.0_spec
print;The Apache Software License, Version 2.0;Web Services Metadata 2.0;org.apache.geronimo.specs;geronimo-ws-metadata_2.0_spec;01.01.2003;http://geronimo.apache.org/maven/specs/geronimo-ws-metadata_2.0_spec/1.1.3
print;The Apache Software License, Version 2.0;Woodstox;org.codehaus.woodstox;woodstox-core-asl;04.01.2001;http://woodstox.codehaus.org
print;The Apache Software License, Version 2.0;XML Commons Resolver Component;xml-resolver;xml-resolver;01. Feb;http://xml.apache.org/commons/components/resolver/
print;The Apache Software License, Version 2.0;XmlSchema Core;org.apache.ws.xmlschema;xmlschema-core;2.0;http://ws.apache.org/commons/XmlSchema/xmlschema-core
print;The BSD License;Stax2 API;org.codehaus.woodstox;stax2-api;03.01.2001;http://woodstox.codehaus.org/StAX2
print;Unknown license;JavaBeans Activation Framework (JAF);javax.activation;activation;1.0.2;http://java.sun.com/products/javabeans/jaf/index.jsp
print;Unknown license;Web Services Metadata for the Java Platform API;javax.jws;jsr181;1.0;http://dev2dev.bea.com/webservices/jwsm.html
print;Unknown license;jaxb-api;javax.xml.bind;jaxb-api;02. Jan;no url defined
print;Unknown license;saaj-impl;com.sun.xml.messaging.saaj;saaj-impl;01.03.2002;no url defined
print;Unknown license;spring-web;org.springframework;spring-web;3.0.5.RELEASE;http://www.springsource.org/spring-framework
printcockpit;ASF 2.0 License;oro;oro;oro;2.0.8;http://svn.apache.org/repos/asf/jakarta/oro/trunk/LICENSE
printcockpit;The Apache Software License, Version 2.0;Acegi Security Core;org.acegisecurity;acegi-security;1.0.7;http://acegisecurity.org/acegi-security/
printcockpit;The Apache Software License, Version 2.0;Codec;commons-codec;commons-codec;01. Mrz;http://jakarta.apache.org/commons/codec/
printcockpit;The Apache Software License, Version 2.0;Lang;commons-lang;commons-lang;02. Jan;http://jakarta.apache.org/commons/${pom.artifactId.substring(8)}/
printcockpit;The Apache Software License, Version 2.0;Logging;commons-logging;commons-logging;1.0.4;http://jakarta.apache.org/commons/logging/
printcockpit;The Apache Software License, Version 2.0;Spring Framework: AOP;org.springframework;spring-aop;01.02.2009;http://www.springframework.org
printcockpit;The Apache Software License, Version 2.0;Spring Framework: Beans;org.springframework;spring-beans;01.02.2009;http://www.springframework.org
printcockpit;The Apache Software License, Version 2.0;Spring Framework: Context;org.springframework;spring-context;01.02.2009;http://www.springframework.org
printcockpit;The Apache Software License, Version 2.0;Spring Framework: Core;org.springframework;spring-core;01.02.2009;http://www.springframework.org
printcockpit;The Apache Software License, Version 2.0;Spring Framework: DAO;org.springframework;spring-dao;01.02.2009;http://www.springframework.org
printcockpit;The Apache Software License, Version 2.0;Spring Framework: JDBC;org.springframework;spring-jdbc;01.02.2009;http://www.springframework.org
printcockpit;The Apache Software License, Version 2.0;Spring Framework: Remoting;org.springframework;spring-remoting;01.02.2009;http://www.springframework.org
printcockpit;The Apache Software License, Version 2.0;Spring Framework: Support;org.springframework;spring-support;01.02.2009;http://www.springframework.org
printcockpit;Unknown license;commons-collections;commons-collections;commons-collections;03. Jan;no url defined
printcockpit;Unknown license;log4j;log4j;log4j;01.02.2009;no url defined
processing;ASF 2.0 License;mvel;org.mvel;mvel2;2.0.19;http://mvel.codehaus.org/
processing;Apache 2.0;Quartz Enterprise Job Scheduler;org.quartz-scheduler;quartz;02.01.2002;http://quartz-scheduler.org/quartz/
processing;GNU LESSER GENERAL PUBLIC LICENSE;c3p0:JDBC DataSources/Resource Pools;c3p0;c3p0;0.9.1.1;http://c3p0.sourceforge.net
processing;MIT license;SLF4J API Module;org.slf4j;slf4j-api;01.06.2001;http://slf4j.org/license.html
productcockpit/web-inf;ASF 2.0 License;spring-aop;org.springframework;spring-aop;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;ASF 2.0 License;spring-asm;org.springframework;spring-asm;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;ASF 2.0 License;spring-beans;org.springframework;spring-beans;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;ASF 2.0 License;spring-context;org.springframework;spring-context;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;ASF 2.0 License;spring-core;org.springframework;spring-core;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;ASF 2.0 License;spring-expression;org.springframework;spring-expression;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;ASF 2.0 License;spring-webmvc;org.springframework;spring-webmvc;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;CDDL + GPLv2 with classpath exception;JavaServer Pages (TM) TagLib Implementation;org.glassfish.web;jstl-impl;01. Feb;http://jstl.java.net/jstl-impl
productcockpit/web-inf;CDDL + GPLv2 with classpath exception;JavaServer Pages(TM) Standard Tag Library;javax.servlet.jsp.jstl;jstl-api;01. Feb;http://jcp.org/en/jsr/detail?id=52
productcockpit/web-inf;Public Domain;AOP alliance;aopalliance;aopalliance;1.0;http://aopalliance.sourceforge.net
productcockpit/web-inf;Sun Binary Code Licenses;servlet-api;javax.servlet;servlet-api;02. Mai;no url defined
productcockpit/web-inf;The Apache Software License, Version 2.0;Commons Logging;commons-logging;commons-logging;01.01.2001;http://commons.apache.org/logging
productcockpit/web-inf;The Apache Software License, Version 2.0;spring-context-support;org.springframework;spring-context-support;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;The Apache Software License, Version 2.0;spring-web;org.springframework;spring-web;3.1.1.RELEASE;http://www.springsource.org/spring-framework
productcockpit/web-inf;Unknown license;jsp-api;javax.servlet.jsp;jsp-api;02. Jan;no url defined
solrfacetsearch;(MIT-style;netCDF C library license.) The NetCDF-Java Library;edu.ucar;netcdf;4.in ;http://www.unidata.ucar.edu/software/netcdf-java/
solrfacetsearch;ASF 2.0 License;ConcurrentLinkedHashMap;com.googlecode.concurrentlinkedhashmap;concurrentlinkedhashmap-lru;01. Feb;http://code.google.com/p/concurrentlinkedhashmap
solrfacetsearch;ASF 2.0 License;jakarta-regexp;jakarta-regexp;jakarta-regexp;01. Apr;http://jakarta.apache.org/regexp/changes.html
solrfacetsearch;Apache 2.0 license(CDDL 1.0 license)(EPL 1.0 license)(LGPL 2.1 license)(LGPL 3.0 license);Restlet Core - API and Engine;org.restlet.jee;org.restlet;02.01.2001;http://www.restlet.org/org.restlet
solrfacetsearch;Apache 2.0 license(CDDL 1.0 license)(EPL 1.0 license)(LGPL 2.1 license)(LGPL 3.0 license);Restlet Extension - Servlet;org.restlet.jee;org.restlet.ext.servlet;02.01.2001;http://www.restlet.org/org.restlet.ext.servlet
solrfacetsearch;Apache 2;Apache Solr Analysis Extras;org.apache.solr;solr-analysis-extras;04.05.2000;http://lucene.apache.org/solr-parent/solr-analysis-extras
solrfacetsearch;Apache 2;Apache Solr Clustering;org.apache.solr;solr-clustering;04.05.2000;http://lucene.apache.org/solr-parent/solr-clustering
solrfacetsearch;Apache 2;Apache Solr Content Extraction Library;org.apache.solr;solr-cell;04.05.2000;http://lucene.apache.org/solr-parent/solr-cell
solrfacetsearch;Apache 2;Apache Solr Core;org.apache.solr;solr-core;04.05.2000;http://lucene.apache.org/solr-parent/solr-core
solrfacetsearch;Apache 2;Apache Solr DataImportHandler Extras;org.apache.solr;solr-dataimporthandler-extras;04.05.2000;http://lucene.apache.org/solr-parent/solr-dataimporthandler-extras
